sample	amplicon	generation	analysisGroup	temperature
gen_1624C_F1_lin-41_pool	lin-41	F1	gen_lin-41_pool_16C	16C
gen_16C_F2_lin-41_pool	lin-41	F2	gen_lin-41_pool_16C	16C
gen_16C_F3_lin-41_pool	lin-41	F3	gen_lin-41_pool_16C	16C
gen_16C_F4_lin-41_pool	lin-41	F4	gen_lin-41_pool_16C	16C
gen_16C_F5_lin-41_pool	lin-41	F5	gen_lin-41_pool_16C	16C
gen_1624C_F1_lin-41_sg15sg16	lin-41	F1	gen_lin-41_sg15sg16_16C	16C
gen_16C_F2_lin-41_sg15sg16	lin-41	F2	gen_lin-41_sg15sg16_16C	16C
gen_16C_F3_lin-41_sg15sg16	lin-41	F3	gen_lin-41_sg15sg16_16C	16C
gen_16C_F4_lin-41_sg15sg16	lin-41	F4	gen_lin-41_sg15sg16_16C	16C
gen_16C_F5_lin-41_sg15sg16	lin-41	F5	gen_lin-41_sg15sg16_16C	16C
gen_1624C_F1_lin-41_sg26sg27	lin-41	F1	gen_lin-41_sg26sg27_16C	16C
gen_16C_F2_lin-41_sg26sg27	lin-41	F2	gen_lin-41_sg26sg27_16C	16C
gen_16C_F3_lin-41_sg26sg27	lin-41	F3	gen_lin-41_sg26sg27_16C	16C
gen_16C_F4_lin-41_sg26sg27	lin-41	F4	gen_lin-41_sg26sg27_16C	16C
gen_16C_F5_lin-41_sg26sg27	lin-41	F5	gen_lin-41_sg26sg27_16C	16C
gen_1624C_F1_lin-41_pool	lin-41	F1	gen_lin-41_pool_24C	24C
gen_24C_F2_lin-41_pool	lin-41	F2	gen_lin-41_pool_24C	24C
gen_24C_F3_lin-41_pool	lin-41	F3	gen_lin-41_pool_24C	24C
gen_24C_F4_lin-41_pool	lin-41	F4	gen_lin-41_pool_24C	24C
gen_24C_F5_lin-41_pool	lin-41	F5	gen_lin-41_pool_24C	24C
gen_1624C_F1_lin-41_sg15sg16	lin-41	F1	gen_lin-41_sg15sg16_24C	24C
gen_24C_F2_lin-41_sg15sg16	lin-41	F2	gen_lin-41_sg15sg16_24C	24C
gen_24C_F3_lin-41_sg15sg16	lin-41	F3	gen_lin-41_sg15sg16_24C	24C
gen_24C_F4_lin-41_sg15sg16	lin-41	F4	gen_lin-41_sg15sg16_24C	24C
gen_24C_F5_lin-41_sg15sg16	lin-41	F5	gen_lin-41_sg15sg16_24C	24C
gen_1624C_F1_lin-41_sg26sg27	lin-41	F1	gen_lin-41_sg26sg27_24C	24C
gen_24C_F2_lin-41_sg26sg27	lin-41	F2	gen_lin-41_sg26sg27_24C	24C
gen_24C_F3_lin-41_sg26sg27	lin-41	F3	gen_lin-41_sg26sg27_24C	24C
gen_24C_F4_lin-41_sg26sg27	lin-41	F4	gen_lin-41_sg26sg27_24C	24C
gen_24C_F5_lin-41_sg26sg27	lin-41	F5	gen_lin-41_sg26sg27_24C	24C
