sample	amplicon	generation	analysisGroup	temperature
gen_16C_F2_lin-41_N2	lin-41	F2	gen_lin-41_N2	16C
gen_16C_F3_lin-41_N2	lin-41	F3	gen_lin-41_N2	16C
gen_16C_F4_lin-41_N2	lin-41	F4	gen_lin-41_N2	16C
gen_16C_F5_lin-41_N2	lin-41	F5	gen_lin-41_N2	16C
gen_16C_F2_lin-41_pool	lin-41	F2	gen_lin-41_pool	16C
gen_16C_F3_lin-41_pool	lin-41	F3	gen_lin-41_pool	16C
gen_16C_F4_lin-41_pool	lin-41	F4	gen_lin-41_pool	16C
gen_16C_F5_lin-41_pool	lin-41	F5	gen_lin-41_pool	16C
gen_16C_F2_lin-41_sg15sg16	lin-41	F2	gen_lin-41_sg15sg16	16C
gen_16C_F3_lin-41_sg15sg16	lin-41	F3	gen_lin-41_sg15sg16	16C
gen_16C_F4_lin-41_sg15sg16	lin-41	F4	gen_lin-41_sg15sg16	16C
gen_16C_F5_lin-41_sg15sg16	lin-41	F5	gen_lin-41_sg15sg16	16C
gen_16C_F2_lin-41_sg26sg27	lin-41	F2	gen_lin-41_sg26sg27	16C
gen_16C_F3_lin-41_sg26sg27	lin-41	F3	gen_lin-41_sg26sg27	16C
gen_16C_F4_lin-41_sg26sg27	lin-41	F4	gen_lin-41_sg26sg27	16C
gen_16C_F5_lin-41_sg26sg27	lin-41	F5	gen_lin-41_sg26sg27	16C
gen_24C_F2_lin-41_N2	lin-41	F2	gen_lin-41_N2	24C
gen_24C_F3_lin-41_N2	lin-41	F3	gen_lin-41_N2	24C
gen_24C_F4_lin-41_N2	lin-41	F4	gen_lin-41_N2	24C
gen_24C_F5_lin-41_N2	lin-41	F5	gen_lin-41_N2	24C
gen_24C_F2_lin-41_pool	lin-41	F2	gen_lin-41_pool	24C
gen_24C_F3_lin-41_pool	lin-41	F3	gen_lin-41_pool	24C
gen_24C_F4_lin-41_pool	lin-41	F4	gen_lin-41_pool	24C
gen_24C_F5_lin-41_pool	lin-41	F5	gen_lin-41_pool	24C
gen_24C_F2_lin-41_sg15sg16	lin-41	F2	gen_lin-41_sg15sg16	24C
gen_24C_F3_lin-41_sg15sg16	lin-41	F3	gen_lin-41_sg15sg16	24C
gen_24C_F4_lin-41_sg15sg16	lin-41	F4	gen_lin-41_sg15sg16	24C
gen_24C_F5_lin-41_sg15sg16	lin-41	F5	gen_lin-41_sg15sg16	24C
gen_24C_F2_lin-41_sg26sg27	lin-41	F2	gen_lin-41_sg26sg27	24C
gen_24C_F3_lin-41_sg26sg27	lin-41	F3	gen_lin-41_sg26sg27	24C
gen_24C_F4_lin-41_sg26sg27	lin-41	F4	gen_lin-41_sg26sg27	24C
gen_24C_F5_lin-41_sg26sg27	lin-41	F5	gen_lin-41_sg26sg27	24C
